# Time(s)	Min(V)	Area(V*s)	AreaFromScope(V*s)
9.05751801	0.0104000000	0.00000000114336000	0.00000000110192146
9.14652300	0.00880000000	0.000000000930880000	0.00000000107600146
9.25852919	0.0104000000	0.00000000100416000	0.00000000108752146
9.34653425	0.00880000000	0.00000000101536000	0.00000000104464146
9.45454073	0.00880000000	0.000000000995520000	0.000000000995361455
9.58754826	0.00880000000	0.000000000993920000	0.00000000108256146
9.67555332	0.00880000000	0.00000000107840000	0.000000000990081455
9.79055977	0.00880000000	0.000000000929600000	0.000000000996801455
9.88556528	0.0104000000	0.00000000103264000	0.00000000103920146
9.97657061	0.00880000000	0.000000000969600000	0.00000000101136146
